Symptom,Description,Cleaned Symptom
foul_smell_ofurine,Urine that has a foul smell,FoulSmellOfUrine
continuous_feel_of_urine,The feeling that you need to urinate even though your bladder is empty,ContinuousFeelOfUrine
passage_of_gases,Passing gas more frequently than usual,PassageOfGases
internal_itching,Itching that is felt inside the body,InternalItching
toxic_look_(typhos),"A pale, grayish complexion with sunken eyes and a yellow tint to the skin",ToxicLook(Typhus)
depression,"A feeling of sadness, emptiness, or despair",Depression
irritability,Easily annoyed or angered,Irritability
muscle_pain,Pain in the muscles,MusclePain
altered_sensorium,A change in the level of consciousness or awareness,AlteredSensorium
red_spots_over_body,Red spots on the skin,RedSpotsOverBody
belly_pain,Pain in the abdomen,BellyPain
abnormal_menstruation,"Changes to the menstrual cycle, such as heavier bleeding or more frequent periods",AbnormalMenstruation
dischromic_patches,Dark or light patches on the skin,DischromicPatches
watering_from_eyes,Increased production of tears,WateringFromEyes
increased_appetite,Eating more than usual,IncreasedAppetite
polyuria,Passing more urine than usual,Polyuria
family_history,Having a family history of a particular disease,FamilyHistory
mucoid_sputum,Sputum that is thick and sticky,MucoidSputum
rusty_sputum,Sputum that is brown or rust-colored,RustySputum
lack_of_concentration,Difficulty concentrating on tasks,LackOfConcentration
visual_disturbances,"Changes in vision, such as blurred vision, double vision, or seeing flashes of light",VisualDisturbances
receiving_blood_transfusion,Receiving blood from another person,ReceivingBloodTransfusion
receiving_unsterile_injections,Receiving injections with needles that are not clean,ReceivingUnsterileInjections
coma,A state of deep unconsciousness from which it is difficult to wake up,Coma
stomach_bleeding,Bleeding from the stomach,StomachBleeding
distention_of_abdomen,Swelling of the abdomen,DistentionOfAbdomen
history_of_alcohol_consumption,Having a history of drinking alcohol excessively,HistoryOfAlcoholConsumption
fluid_overload,Excess fluid in the body,FluidOverload
blood_in_sputum,Sputum that contains blood,BloodInSputum
prominent_veins_on_calf,"Large, visible veins on the calves",ProminentVeinsOnCalf
palpitations,A racing or pounding heartbeat,Palpitations
painful_walking,Painful or difficult walking,PainfulWalking
pus_filled_pimples,Pimples that contain pus,PusFilledPimples
blackheads,"Blackheads are small, dark spots on the skin that are caused by oil and dead skin cells",Blackheads
scurring,A condition in which the skin peels off in thin layers,Scurvy
skin_peeling,Skin that is peeling off,SkinPeeling
silver_like_dusting,A silvery-white appearance to the skin,SilverLikeDusting
small_dents_in_nails,Small dents or depressions in the nails,SmallDentsInNails
inflammatory_nails,"Nails that are red, swollen, and painful",InflammatoryNails
blister,"A small, raised area of skin that is filled with fluid",Blister
red_sore_around_nose,"A red, sore area around the nose",RedSoreAroundNose
yellow_crust_ooze,A yellow crust that oozes from a sore or wound,YellowCrustOoze
prognosis,The expected course of a disease or condition,Prognosis
